arm,seed,mAP50,mAP50_95,precision,recall
A_joint_ABO,42,0.3998,0.1484,0.4714,0.454
A_joint_ABO,123,0.4355,0.1686,0.5212,0.4665
A_joint_ABO,2024,0.4198,0.1623,0.5284,0.4129
B2,42,0.3228,0.1199,0.665,0.2789
B2,123,0.4337,0.1692,0.5482,0.4104
B2,2024,0.4196,0.1504,0.489,0.445
C-joint,42,0.456,0.1978,0.5897,0.4035
C-joint,123,0.4298,0.1753,0.5895,0.386
C-joint,2024,0.4328,0.179,0.5942,0.3721
C-pre,42,0.2951,0.1178,0.4962,0.2789
C-pre,123,0.3058,0.1243,0.5463,0.2925
C-pre,2024,0.3115,0.1154,0.5447,0.2946
