epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.142,1.36184,0.82502,0.92797,0.7915,0.66817,0.71375,0.382,1.42255,0.90544,0.9481,0.000333181,0.000333181,0.00700137
2,638.388,1.35385,0.77146,0.92597,0.78353,0.67136,0.73035,0.39703,1.41709,0.91858,0.93553,0.000666496,0.000666496,0.00400135
3,931.099,1.30435,0.72318,0.91374,0.83047,0.66614,0.741,0.40619,1.38236,0.84315,0.93114,0.000999739,0.000999739,0.00100126
4,1221.53,1.25509,0.67529,0.89807,0.81099,0.69765,0.75571,0.42881,1.35278,0.79879,0.92386,0.000999756,0.000999756,0.000999756
5,1513.55,1.21066,0.63804,0.88644,0.82238,0.70166,0.76479,0.44192,1.30309,0.75982,0.91644,0.000999566,0.000999566,0.000999566
6,1806.26,1.16865,0.60553,0.87744,0.84401,0.71586,0.78451,0.45137,1.30407,0.7468,0.92104,0.000999322,0.000999322,0.000999322
7,2097.25,1.13368,0.57818,0.86846,0.8277,0.74191,0.78498,0.45426,1.2878,0.76421,0.9086,0.000999023,0.000999023,0.000999023
8,2387.16,1.10815,0.56121,0.86292,0.83907,0.72838,0.7872,0.46032,1.27708,0.73033,0.90304,0.000998671,0.000998671,0.000998671
9,2677.39,1.07862,0.53796,0.85501,0.84179,0.73068,0.78923,0.4569,1.25449,0.7358,0.90291,0.000998264,0.000998264,0.000998264
10,2967.46,1.04982,0.52212,0.8515,0.8244,0.7577,0.78232,0.45759,1.25072,0.72389,0.90158,0.000997803,0.000997803,0.000997803
11,3258.03,1.02976,0.5079,0.84643,0.82216,0.74665,0.78942,0.46196,1.26728,0.72079,0.91459,0.000997288,0.000997288,0.000997288
12,3548.44,1.00369,0.49335,0.84258,0.83571,0.7577,0.79338,0.46532,1.25832,0.7332,0.90447,0.00099672,0.00099672,0.00099672
13,3838.24,0.9834,0.4809,0.8389,0.85078,0.75533,0.78894,0.46713,1.23212,0.72045,0.89998,0.000996097,0.000996097,0.000996097
14,4128.58,0.95949,0.46704,0.83341,0.84903,0.75138,0.78248,0.46028,1.25641,0.72832,0.91988,0.00099542,0.00099542,0.00099542
15,4417.91,0.9464,0.45996,0.8312,0.84575,0.7577,0.78408,0.46004,1.25864,0.7481,0.91679,0.00099469,0.00099469,0.00099469
16,4707.83,0.92138,0.4474,0.82709,0.8454,0.75059,0.7876,0.46509,1.24768,0.74815,0.91303,0.000993906,0.000993906,0.000993906
17,4996.77,0.90543,0.43997,0.82422,0.86026,0.74743,0.78566,0.46108,1.2659,0.73669,0.91932,0.000993068,0.000993068,0.000993068
18,5286.57,0.88722,0.42989,0.82302,0.83448,0.76401,0.78861,0.46439,1.24925,0.73929,0.91374,0.000992177,0.000992177,0.000992177
19,5576.12,0.86925,0.4209,0.81874,0.84678,0.75463,0.78802,0.46319,1.23945,0.75338,0.90246,0.000991232,0.000991232,0.000991232
