epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9374,1.64242,1.55274,1.01538,0.694,0.5227,0.56679,0.27782,1.69462,1.21873,1.04778,0.000329412,0.000329412,0.00703529
2,50.6084,1.65632,1.1514,1.02998,0.66395,0.56761,0.57577,0.26476,1.66591,2.74271,1.02921,0.000662727,0.000662727,0.00403528
3,64.0846,1.69769,1.2041,1.04768,0.6213,0.51697,0.51097,0.23841,1.72763,1.78742,1.08381,0.00099597,0.00099597,0.00103519
4,77.5308,1.68737,1.14895,1.04112,0.60779,0.54617,0.53536,0.24811,1.6988,1.28321,1.04995,0.000999756,0.000999756,0.000999756
5,90.9818,1.65626,1.17362,1.03207,0.67763,0.53591,0.56389,0.28111,1.68223,1.41533,1.03152,0.000999566,0.000999566,0.000999566
6,104.754,1.62228,1.0781,1.00438,0.70206,0.59037,0.60193,0.28345,1.68253,1.41983,1.04418,0.000999322,0.000999322,0.000999322
7,119.009,1.5969,1.06167,1.00783,0.70343,0.58406,0.59897,0.29624,1.65543,1.1715,1.0337,0.000999023,0.000999023,0.000999023
8,133.031,1.61552,1.07178,1.01177,0.71648,0.55447,0.59614,0.29255,1.70599,1.17235,1.04583,0.000998671,0.000998671,0.000998671
9,146.319,1.6046,1.04224,1.00631,0.73299,0.61957,0.65256,0.3298,1.58067,1.12427,1.00328,0.000998264,0.000998264,0.000998264
10,160.032,1.55933,1.01433,0.9988,0.72508,0.5959,0.62201,0.30979,1.58268,1.17031,1.0366,0.000997803,0.000997803,0.000997803
11,174.226,1.54842,1.00716,0.98556,0.6929,0.59478,0.62622,0.33589,1.53555,1.14786,0.98422,0.000997288,0.000997288,0.000997288
12,188.718,1.53208,0.97304,0.9857,0.73247,0.59425,0.63329,0.32709,1.55538,1.21669,1.01911,0.00099672,0.00099672,0.00099672
13,202.187,1.55366,0.97286,0.99613,0.7003,0.61563,0.64287,0.32473,1.5874,1.10087,1.00575,0.000996097,0.000996097,0.000996097
14,215.653,1.47659,0.93298,0.98163,0.77554,0.60616,0.66088,0.33343,1.58454,1.06977,1.00229,0.00099542,0.00099542,0.00099542
