epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5036,1.7502,1.34014,1.16908,0.64164,0.52328,0.54169,0.25703,1.72004,1.35214,1.03515,0.00033268,0.00033268,0.00700588
2,157.66,1.79691,1.29456,1.19791,0.64981,0.50276,0.51196,0.23992,1.71322,1.35354,1.03543,0.000665995,0.000665995,0.00400586
3,226.641,1.79193,1.27909,1.19825,0.60303,0.42857,0.41898,0.18649,1.87964,1.50233,1.10713,0.000999238,0.000999238,0.00100577
4,295.213,1.76512,1.24575,1.18131,0.63083,0.54622,0.53971,0.26248,1.65075,1.27363,1.01366,0.000999756,0.000999756,0.000999756
5,363.33,1.70304,1.17311,1.15256,0.71173,0.54223,0.57373,0.28607,1.64995,1.1718,1.02301,0.000999566,0.000999566,0.000999566
6,431.322,1.67674,1.15503,1.1434,0.71539,0.56275,0.58245,0.28742,1.6354,1.16282,1.02052,0.000999322,0.000999322,0.000999322
7,499.81,1.65367,1.1189,1.13448,0.72125,0.59037,0.6166,0.30378,1.62464,1.09067,1.01403,0.000999023,0.000999023,0.000999023
8,568.414,1.63788,1.09721,1.12592,0.71713,0.58327,0.62069,0.31254,1.59389,1.12525,1.01029,0.000998671,0.000998671,0.000998671
9,636.608,1.62326,1.07826,1.12071,0.72678,0.62356,0.6381,0.32687,1.55632,1.05715,0.99628,0.000998264,0.000998264,0.000998264
10,705.252,1.58602,1.05284,1.10901,0.7566,0.61405,0.6517,0.34498,1.50537,0.99651,0.98087,0.000997803,0.000997803,0.000997803
11,773.228,1.59096,1.0435,1.10225,0.71825,0.62352,0.62699,0.3248,1.55681,1.03665,1.00408,0.000997288,0.000997288,0.000997288
12,841.21,1.56879,1.02838,1.10025,0.75381,0.60175,0.64026,0.34242,1.47795,0.99194,0.96504,0.00099672,0.00099672,0.00099672
13,909.485,1.56008,1.02077,1.0931,0.71358,0.63119,0.64384,0.34581,1.51644,1.02683,0.98263,0.000996097,0.000996097,0.000996097
14,978.046,1.54506,1.0014,1.0848,0.73947,0.64562,0.67698,0.36314,1.46908,0.97709,0.96087,0.00099542,0.00099542,0.00099542
15,1046.24,1.53899,1.0033,1.08275,0.76121,0.6251,0.66877,0.36289,1.45028,0.94723,0.95717,0.00099469,0.00099469,0.00099469
16,1114.05,1.52535,0.99168,1.08025,0.77689,0.62904,0.67443,0.36943,1.43115,0.96919,0.95464,0.000993906,0.000993906,0.000993906
17,1182.19,1.52127,0.98652,1.07711,0.75109,0.66535,0.69056,0.3795,1.42955,0.96331,0.9467,0.000993068,0.000993068,0.000993068
18,1250.36,1.5216,0.97556,1.07558,0.74772,0.63457,0.66322,0.36303,1.44465,0.97087,0.96427,0.000992177,0.000992177,0.000992177
19,1318.57,1.52269,0.974,1.07392,0.74921,0.62247,0.6741,0.36727,1.46493,0.98907,0.96411,0.000991232,0.000991232,0.000991232
20,1386.95,1.50778,0.96995,1.07144,0.75438,0.64878,0.66987,0.36805,1.41224,0.92503,0.94653,0.000990234,0.000990234,0.000990234
21,1454.79,1.50271,0.96237,1.0724,0.77568,0.64799,0.69745,0.37936,1.4265,0.92406,0.94242,0.000989183,0.000989183,0.000989183
22,1522.74,1.49694,0.95579,1.0663,0.76431,0.68114,0.70378,0.39118,1.39574,0.89466,0.94003,0.000988079,0.000988079,0.000988079
23,1590.93,1.49295,0.94783,1.06747,0.77654,0.66772,0.70709,0.38944,1.41909,0.9057,0.95598,0.000986922,0.000986922,0.000986922
24,1659.21,1.48879,0.94317,1.0626,0.7991,0.64986,0.70234,0.38885,1.41418,0.89523,0.94952,0.000985711,0.000985711,0.000985711
25,1726.61,1.47748,0.93247,1.05626,0.78795,0.67245,0.71266,0.39802,1.39281,0.87328,0.94795,0.000984449,0.000984449,0.000984449
26,1795.06,1.47439,0.92422,1.05371,0.77972,0.66062,0.70469,0.39314,1.4056,0.91054,0.94213,0.000983133,0.000983133,0.000983133
27,1863.59,1.46953,0.92898,1.05782,0.79226,0.65825,0.70969,0.40369,1.38031,0.87831,0.93989,0.000981765,0.000981765,0.000981765
28,1932.24,1.46222,0.92606,1.05707,0.81124,0.67877,0.72871,0.40657,1.37229,0.84483,0.93607,0.000980345,0.000980345,0.000980345
