epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0813,1.70207,1.30985,1.04431,0.69472,0.56906,0.60877,0.32467,1.48754,1.0486,0.96863,0.000329412,0.000329412,0.00703529
2,37.6703,1.49772,0.98109,0.97325,0.75629,0.61642,0.6662,0.36383,1.44247,0.94842,0.95073,0.000662727,0.000662727,0.00403528
3,51.4398,1.45305,0.92709,0.95515,0.73216,0.62589,0.66168,0.36327,1.45331,0.94891,0.95341,0.00099597,0.00099597,0.00103519
4,64.4839,1.4344,0.85918,0.9467,0.76891,0.58301,0.65312,0.36102,1.45507,0.95202,0.98096,0.000999756,0.000999756,0.000999756
5,77.5739,1.41171,0.85068,0.93976,0.77341,0.63062,0.69563,0.38914,1.41318,0.90966,0.94962,0.000999566,0.000999566,0.000999566
6,90.6924,1.37926,0.8236,0.92729,0.75772,0.66154,0.70214,0.39253,1.37554,0.86341,0.93071,0.000999322,0.000999322,0.000999322
7,103.969,1.3794,0.82375,0.93006,0.80014,0.65509,0.7168,0.39372,1.38607,0.88226,0.93437,0.000999023,0.000999023,0.000999023
8,117.243,1.3618,0.79971,0.92428,0.76659,0.67167,0.71742,0.40059,1.39069,0.89313,0.93171,0.000998671,0.000998671,0.000998671
9,130.631,1.35283,0.79151,0.92459,0.78889,0.6764,0.72088,0.39585,1.40452,0.86685,0.93097,0.000998264,0.000998264,0.000998264
10,143.861,1.3688,0.80682,0.92565,0.78518,0.63931,0.70328,0.38926,1.40405,0.88682,0.94092,0.000997803,0.000997803,0.000997803
11,156.957,1.32127,0.76174,0.91053,0.80701,0.66062,0.7309,0.41434,1.37613,0.83493,0.939,0.000997288,0.000997288,0.000997288
12,170.402,1.30096,0.74488,0.9126,0.81201,0.64773,0.72815,0.40464,1.37673,0.84872,0.92353,0.00099672,0.00099672,0.00099672
13,183.304,1.3279,0.75536,0.92061,0.78149,0.70481,0.73525,0.4081,1.41051,0.82842,0.93424,0.000996097,0.000996097,0.000996097
14,196.391,1.27787,0.74229,0.90404,0.78275,0.6711,0.73541,0.40747,1.37622,0.8395,0.92971,0.00099542,0.00099542,0.00099542
15,209.702,1.3022,0.7489,0.91014,0.77707,0.68508,0.72609,0.39123,1.44361,0.86264,0.93787,0.00099469,0.00099469,0.00099469
16,222.78,1.27041,0.74247,0.90365,0.80808,0.67009,0.73551,0.41854,1.34445,0.81315,0.92041,0.000993906,0.000993906,0.000993906
17,235.972,1.27323,0.70448,0.89894,0.78709,0.70876,0.74824,0.41551,1.37397,0.82403,0.93415,0.000993068,0.000993068,0.000993068
18,248.915,1.26842,0.71312,0.90579,0.83457,0.6914,0.76188,0.4221,1.36108,0.81079,0.92777,0.000992177,0.000992177,0.000992177
19,262.244,1.26585,0.70568,0.8953,0.79256,0.69534,0.73272,0.40976,1.37053,0.8022,0.92988,0.000991232,0.000991232,0.000991232
